form,strategy,pos_count,pos_ratio,scale_pos_weight,threshold,val_f1,val_auc
GST34,STANDARD,4106,0.11731428571428572,7.524111056989771,0.1,0.9994347088750707,1.0
NR4,STANDARD,2125,0.060714285714285714,15.470588235294118,0.1,1.0,1.0
ON479,STANDARD,3302,0.09434285714285714,9.599636583888552,0.1,1.0,1.0
RC096,AGGRESSIVE,21,0.0006,50.0,0.1,1.0,0.9999999999999999
RC151,STANDARD,4151,0.1186,7.431703204047218,0.1,1.0,1.0
RC243,AGGRESSIVE,553,0.0158,50.0,0.1,1.0,1.0
RC62,STANDARD,5252,0.15005714285714286,5.664127951256664,0.1,1.0,1.0
RC66,MINIMAL,8165,0.2332857142857143,3.286589099816289,0.1,1.0,1.0
SCH1-MEDICAL,STANDARD,3039,0.08682857142857144,10.516946363935505,0.3500000000000001,0.9978432782171099,0.9999985180053876
SCH11,STANDARD,2086,0.0596,15.778523489932885,0.1,1.0,1.0
SCH3,STANDARD,3980,0.11371428571428571,7.793969849246231,0.1,1.0,1.0
SCH7,STANDARD,6902,0.1972,4.070993914807302,0.3500000000000001,0.99897575964493,0.999989486588278
SCH9,MINIMAL,12064,0.34468571428571426,1.9011936339522546,0.15000000000000002,0.9975167144221585,0.9984828002761159
T1,MINIMAL,32875,0.9392857142857143,0.06463878326996197,0.1,1.0,1.0
T1-BANKRUPTCY,AGGRESSIVE,246,0.007028571428571428,50.0,0.1,1.0,1.0
T1-M,STANDARD,3620,0.10342857142857143,8.668508287292818,0.1,1.0,1.0
T1032,AGGRESSIVE,1049,0.029971428571428572,32.36510962821735,0.8500000000000002,0.985,0.9996039803721494
T1032-ALIMONY,AGGRESSIVE,730,0.02085714285714286,46.945205479452056,0.1,0.9963369963369964,0.999908796299509
T1135,STANDARD,4055,0.11585714285714285,7.631319358816276,0.1,0.9993815708101422,1.0
T2,MINIMAL,14512,0.4146285714285714,1.4117971334068358,0.1,1.0,1.0
T2091,AGGRESSIVE,501,0.014314285714285713,50.0,0.1,1.0,1.0
T2125,STANDARD,4846,0.13845714285714286,6.222451506397029,0.1,1.0,1.0
T2200,MINIMAL,10108,0.2888,2.4626038781163433,0.1,1.0,1.0
T2202,STANDARD,2086,0.0596,15.778523489932885,0.1,1.0,1.0
T2209,STANDARD,2588,0.07394285714285714,12.523956723338486,0.1,1.0,1.0
T3,STANDARD,5003,0.14294285714285715,5.995802518488906,0.20000000000000004,1.0,1.0
T4RIF,STANDARD,6159,0.17597142857142858,4.682740704659848,0.1,1.0,1.0
T4RSP,STANDARD,3228,0.09222857142857142,9.84262701363073,0.1,0.9986091794158554,0.9992817928548017
T5,MINIMAL,11466,0.3276,2.0525030525030523,0.1,1.0,1.0
T5013,AGGRESSIVE,246,0.007028571428571428,50.0,0.1,1.0,1.0
T776,STANDARD,3275,0.09357142857142857,9.687022900763358,0.1,1.0,1.0
T778,STANDARD,4746,0.1356,6.374631268436578,0.25000000000000006,0.9985214391325776,0.9998406131142923
TP1,STANDARD,3231,0.09231428571428571,9.832559579077685,0.1,1.0,1.0
TP64.3,AGGRESSIVE,694,0.019828571428571428,49.43227665706052,0.1,1.0,1.0
